min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z,label
-2040,-2036,-1792,2040,784,-188,2,1,7,-238.2,-31.56,-964.16,1202.795,658.1462,334.677,2
-2040,-1908,-1896,2040,532,-184,0,2,3,-228.56,-102.36,-934.8,1171.983,655.8352,316.1152,2
-2040,-2040,-1940,2040,264,136,1,1,6,-332.44,-247.76,-854.52,1189.64,644.8853,365.6463,2
-2040,-1324,-1772,2040,388,-160,1,1,2,-265.04,-109.96,-885.76,1214.749,444.0748,411.0989,2
-2040,-1692,-1668,2040,520,-88,0,2,2,-269.28,-129.48,-875.6,1149.956,545.423,354.2251,2
-2040,-1116,-1852,2040,372,-172,2,1,2,-276.64,-85.56,-874.32,1118.743,414.0106,397.9327,2
-2040,-1196,-1624,2040,432,-100,1,1,3,-225.84,-107.72,-884.88,1155.192,446.5556,400.1518,2
-2040,-1308,-1636,2040,456,-8,4,2,3,-202.8,-120.56,-880.4399,1192.491,465.4281,376.6186,2
-2040,-1468,-1784,2040,484,72,2,1,0,-288.48,-59.8,-900.6,1107.025,473.7808,423.631,2
-2040,-1020,-1564,2040,524,-80,1,0,3,-212.52,-73.24,-870.7999,1184.254,414.4196,371.6719,2
-2040,-1664,-1552,2040,420,-84,3,2,2,-206.32,-88.16001,-914.36,1191.754,503.608,344.4881,2
-2040,-1312,-1724,2040,528,4,3,1,1,-223.72,-57.24,-923.92,1162.951,458.2487,368.4124,2
-2040,-1112,-1832,2040,348,-160,3,1,2,-248.36,-124.52,-931.08,1154.495,394.9297,432.3997,2
-2040,-1048,-1600,1940,416,-116,3,0,4,-187.04,-140.6,-904.44,1180.718,393.7733,372.876,2
-2040,-1096,-1624,2040,516,-220,2,2,5,-187.04,-157.72,-908.84,1224.455,433.6436,324.1107,2
-1900,-856,-1980,2040,432,600,2,0,4,-338.08,19.72,-820.2,1008.408,324.5661,561.6981,2
-2040,-772,-1432,2040,512,-196,2,0,1,-119.0,-3.48,-915.0399,1169.821,346.7087,283.3097,2
-2040,-1764,-1640,2040,588,-52,1,1,5,-136.4,-181.56,-951.28,1213.835,612.6287,318.9293,2
-2040,-1456,-1896,2040,464,-96,4,4,6,-114.84,-183.68,-924.1599,1248.038,535.2139,357.3539,2
-820,-408,-2040,376,852,872,2,2,2,-165.44,323.56,-725.52,234.3737,352.5064,860.0684,3
-1376,-1480,-2040,712,580,1260,2,1,3,-148.4,34.68,-784.04,326.4791,400.6407,1015.518,3
-648,-796,-2040,560,624,1460,2,2,3,-137.2,4.32,-810.84,225.3953,341.1978,1096.652,3
-864,-712,-2040,1084,712,1152,1,1,2,-158.64,82.92,-789.24,318.4097,410.2584,943.7826,3
-656,-556,-2040,676,684,1380,1,1,2,-103.08,100.64,-809.48,223.5731,304.7363,946.6711,3
